date,close,open,high,low,volume,change,sequence,sq
2014年10月9日,"2,389.37","2,383.86","2,391.35","2,367.11",23.59B,0.28%,304.00,186.00
2014年10月10日,"2,374.54","2,380.76","2,386.28","2,365.07",22.47B,-0.62%,303.00,187.00
2014年10月13日,"2,366.01","2,366.43","2,366.86","2,341.12",20.09B,-0.36%,302.00,188.00
2014年10月14日,"2,359.47","2,362.80","2,380.52","2,349.19",19.68B,-0.28%,301.00,189.00
2014年10月15日,"2,373.67","2,358.23","2,374.81","2,344.37",20.28B,0.60%,300.00,190.00
2014年10月16日,"2,356.50","2,361.13","2,389.67","2,353.41",24.82B,-0.72%,299.00,191.00
2014年10月17日,"2,341.18","2,352.78","2,360.60","2,312.83",21.23B,-0.65%,298.00,192.00
2014年10月20日,"2,356.73","2,346.05","2,357.51","2,340.46",16.00B,0.66%,297.00,193.00
2014年10月21日,"2,339.66","2,355.03","2,361.65","2,337.55",16.88B,-0.72%,296.00,194.00
2014年10月22日,"2,326.55","2,339.22","2,352.12","2,324.59",15.27B,-0.56%,295.00,195.00
2014年10月23日,"2,302.42","2,322.32","2,329.93","2,297.33",16.26B,-1.04%,294.00,196.00
2014年10月24日,"2,302.28","2,303.08","2,314.87","2,296.66",13.22B,-0.01%,293.00,197.00
2014年10月27日,"2,290.44","2,293.57","2,293.64","2,279.84",13.03B,-0.51%,292.00,198.00
2014年10月28日,"2,337.87","2,294.01","2,338.28","2,294.01",17.86B,2.07%,291.00,199.00
2014年10月29日,"2,373.03","2,343.72","2,381.64","2,339.71",26.56B,1.50%,290.00,200.00
2014年10月30日,"2,391.08","2,371.89","2,397.26","2,365.92",29.46B,0.76%,289.00,201.00
2014年10月31日,"2,420.18","2,393.18","2,423.60","2,384.48",32.58B,1.22%,288.00,202.00
2014年11月3日,"2,430.03","2,425.22","2,436.79","2,418.17",29.88B,0.41%,287.00,203.00
2014年11月4日,"2,430.68","2,428.27","2,435.22","2,417.22",30.90B,0.03%,286.00,204.00
2014年11月5日,"2,419.25","2,432.17","2,434.36","2,415.50",26.36B,-0.47%,285.00,205.00
2014年11月6日,"2,425.86","2,419.62","2,426.89","2,401.75",22.20B,0.27%,284.00,206.00
2014年11月7日,"2,418.17","2,427.90","2,454.42","2,407.44",29.12B,-0.32%,283.00,207.00
2014年11月10日,"2,473.67","2,436.63","2,474.16","2,428.19",30.06B,2.30%,282.00,208.00
2014年11月11日,"2,469.67","2,483.65","2,508.62","2,445.96",41.19B,-0.16%,281.00,209.00
2014年11月12日,"2,494.48","2,454.60","2,494.92","2,444.81",25.29B,1.00%,280.00,210.00
2014年11月13日,"2,485.61","2,495.00","2,507.74","2,471.41",29.50B,-0.36%,279.00,211.00
2014年11月14日,"2,478.82","2,477.97","2,481.02","2,457.05",22.06B,-0.27%,278.00,212.00
2014年11月17日,"2,474.01","2,506.86","2,508.77","2,472.45",21.57B,-0.19%,277.00,213.00
2014年11月18日,"2,456.37","2,474.18","2,477.05","2,449.81",20.11B,-0.71%,276.00,214.00
2014年11月19日,"2,450.99","2,452.15","2,461.49","2,442.71",18.62B,-0.22%,275.00,215.00
2014年11月20日,"2,452.66","2,443.28","2,458.32","2,437.48",16.55B,0.07%,274.00,216.00
2014年11月21日,"2,486.79","2,452.63","2,488.20","2,446.65",21.22B,1.39%,273.00,217.00
2014年11月24日,"2,532.88","2,505.53","2,546.75","2,495.52",36.35B,1.85%,272.00,218.00
2014年11月25日,"2,567.60","2,532.00","2,568.38","2,527.08",31.43B,1.37%,271.00,219.00
2014年11月26日,"2,604.35","2,572.65","2,605.07","2,570.40",33.71B,1.43%,270.00,220.00
2014年11月27日,"2,630.49","2,615.37","2,631.40","2,599.11",36.41B,1.00%,269.00,221.00
2014年11月28日,"2,682.83","2,629.63","2,683.18","2,622.06",46.59B,1.99%,268.00,222.00
2014年12月1日,"2,680.16","2,691.72","2,720.74","2,668.84",44.68B,-0.10%,267.00,223.00
2014年12月2日,"2,763.54","2,667.82","2,777.37","2,665.69",43.77B,3.11%,266.00,224.00
2014年12月3日,"2,779.53","2,768.68","2,824.18","2,733.87",56.21B,0.58%,265.00,225.00
2014年12月4日,"2,899.46","2,783.47","2,900.51","2,772.43",53.27B,4.31%,264.00,226.00
2014年12月5日,"2,937.65","2,926.57","2,978.03","2,813.05",64.05B,1.32%,263.00,227.00
2014年12月8日,"3,020.26","2,907.82","3,041.66","2,879.85",58.76B,2.81%,262.00,228.00
2014年12月9日,"2,856.27","2,992.49","3,091.32","2,834.59",77.20B,-5.43%,261.00,229.00
2014年12月10日,"2,940.01","2,855.94","2,946.71","2,807.68",51.29B,2.93%,260.00,230.00
2014年12月11日,"2,925.74","2,912.35","2,965.67","2,892.61",48.26B,-0.49%,259.00,231.00
2014年12月12日,"2,938.17","2,929.36","2,962.51","2,914.96",40.95B,0.42%,258.00,232.00
2014年12月15日,"2,953.42","2,921.45","2,960.23","2,890.90",40.04B,0.52%,257.00,233.00
2014年12月16日,"3,021.52","2,953.81","3,021.90","2,943.91",45.38B,2.31%,256.00,234.00
2014年12月17日,"3,061.02","3,031.95","3,076.60","2,993.33",54.25B,1.31%,255.00,235.00
2014年12月18日,"3,057.52","3,062.80","3,089.79","3,030.32",43.59B,-0.11%,254.00,236.00
2014年12月19日,"3,108.60","3,053.07","3,117.53","3,018.42",52.11B,1.67%,253.00,237.00
2014年12月22日,"3,127.44","3,129.27","3,189.87","3,090.51",67.94B,0.61%,252.00,238.00
2014年12月23日,"3,032.61","3,085.08","3,136.84","3,025.67",43.78B,-3.03%,251.00,239.00
2014年12月24日,"2,972.53","3,039.21","3,050.51","2,934.91",37.68B,-1.98%,250.00,240.00
2014年12月25日,"3,072.54","2,992.46","3,073.35","2,969.87",37.69B,3.36%,249.00,241.00
2014年12月26日,"3,157.60","3,078.01","3,164.16","3,064.18",46.07B,2.77%,248.00,242.00
2014年12月29日,"3,168.02","3,212.56","3,223.86","3,126.94",51.01B,0.33%,247.00,243.00
2014年12月30日,"3,165.81","3,160.80","3,190.30","3,130.35",39.77B,-0.07%,246.00,244.00
2014年12月31日,"3,234.68","3,172.60","3,239.36","3,157.26",40.60B,2.18%,245.00,245.00
2015年1月5日,"3,350.52","3,258.63","3,369.28","3,253.88",53.14B,3.58%,244.00,246.00
2015年1月6日,"3,351.45","3,330.80","3,394.22","3,303.18",50.17B,0.03%,243.00,247.00
2015年1月7日,"3,373.95","3,326.65","3,374.90","3,312.21",39.19B,0.67%,242.00,248.00
2015年1月8日,"3,293.46","3,371.96","3,381.57","3,285.10",37.11B,-2.39%,241.00,249.00
2015年1月9日,"3,285.41","3,276.97","3,404.83","3,267.51",41.02B,-0.24%,240.00,250.00
2015年1月12日,"3,229.32","3,258.21","3,275.19","3,191.58",32.21B,-1.71%,239.00,251.00
2015年1月13日,"3,235.30","3,223.54","3,259.39","3,214.41",23.07B,0.19%,238.00,252.00
2015年1月14日,"3,222.44","3,242.34","3,268.48","3,193.98",24.02B,-0.40%,237.00,253.00
2015年1月15日,"3,336.45","3,224.07","3,337.08","3,207.55",28.25B,3.54%,236.00,254.00
2015年1月16日,"3,376.49","3,343.60","3,400.32","3,340.49",33.99B,1.20%,235.00,255.00
2015年1月19日,"3,116.35","3,189.73","3,262.21","3,095.07",40.11B,-7.70%,234.00,256.00
2015年1月20日,"3,173.05","3,114.56","3,190.25","3,100.48",35.71B,1.82%,233.00,257.00
2015年1月21日,"3,323.61","3,189.09","3,337.00","3,178.34",41.10B,4.74%,232.00,258.00
2015年1月22日,"3,343.34","3,327.32","3,352.38","3,293.98",35.34B,0.59%,231.00,259.00
2015年1月23日,"3,351.76","3,357.10","3,406.79","3,328.29",36.62B,0.25%,230.00,260.00
2015年1月26日,"3,383.18","3,347.26","3,384.80","3,321.31",31.75B,0.94%,229.00,261.00
2015年1月27日,"3,352.96","3,389.85","3,390.22","3,290.22",37.45B,-0.89%,228.00,262.00
2015年1月28日,"3,305.74","3,325.72","3,354.80","3,294.65",30.19B,-1.41%,227.00,263.00
2015年1月29日,"3,262.30","3,259.00","3,286.79","3,234.24",27.47B,-1.31%,226.00,264.00
2015年1月30日,"3,210.36","3,273.75","3,288.50","3,210.31",25.83B,-1.59%,225.00,265.00
2015年2月2日,"3,128.30","3,148.14","3,175.13","3,122.57",25.09B,-2.56%,224.00,266.00
2015年2月3日,"3,204.91","3,156.09","3,207.94","3,129.73",24.82B,2.45%,223.00,267.00
2015年2月4日,"3,174.13","3,212.82","3,238.98","3,171.14",24.91B,-0.96%,222.00,268.00
2015年2月5日,"3,136.53","3,251.21","3,251.21","3,135.82",30.61B,-1.18%,221.00,269.00
